,origin_airport_id,op_unique_carrier,Delayed,ratio,Ratio_Percentage
930,11298,OH,0,310,
931,11298,OH,1,88,
932,11298,OO,0,2034,
933,11298,OO,1,499,
934,11298,UA,0,680,
935,11298,UA,1,154,
936,11298,YV,0,3687,
937,11298,YV,1,1227,
938,11298,YX,0,150,
939,11298,YX,1,41,
940,11308,OO,0,152,
941,11308,OO,1,39,
942,11337,MQ,0,82,
943,11337,MQ,1,16,
944,11337,OO,0,222,
945,11337,OO,1,64,
946,11337,UA,0,46,
947,11337,UA,1,4,
948,11413,OO,0,112,
949,11413,OO,1,26,
950,11413,YV,0,197,
951,11413,YV,1,42,
952,11413,YX,0,50,
953,11413,YX,1,4,
954,11415,MQ,0,89,
955,11415,MQ,1,6,
956,11423,9E,0,362,
957,11423,9E,1,53,
958,11423,AA,0,162,
959,11423,AA,1,53,
960,11423,DL,0,90,
961,11423,DL,1,29,
962,11423,F9,0,56,
963,11423,F9,1,17,
964,11423,G4,0,76,
965,11423,G4,1,33,
966,11423,MQ,0,91,
967,11423,MQ,1,37,
968,11423,OH,0,117,
969,11423,OH,1,64,
970,11423,OO,0,383,
971,11423,OO,1,111,
972,11423,UA,0,135,
973,11423,UA,1,27,
974,11423,WN,0,129,
975,11423,WN,1,12,
976,11423,YV,1,10,
977,11423,YV,0,7,
978,11423,YX,0,115,
979,11423,YX,1,36,
980,11433,9E,0,2552,
981,11433,9E,1,318,
982,11433,AA,0,541,
983,11433,AA,1,137,
984,11433,AS,0,29,
985,11433,AS,1,21,
986,11433,B6,0,136,
987,11433,B6,1,33,
988,11433,DL,0,6826,
989,11433,DL,1,1104,
990,11433,EV,0,96,
991,11433,EV,1,22,
992,11433,F9,0,145,
993,11433,F9,1,39,
994,11433,MQ,0,78,
995,11433,MQ,1,24,
996,11433,NK,0,1242,
997,11433,NK,1,216,
998,11433,OH,0,118,
999,11433,OH,1,44,
1000,11433,OO,0,4763,
1001,11433,OO,1,1197,
1002,11433,UA,0,144,
1003,11433,UA,1,35,
1004,11433,WN,0,575,
1005,11433,WN,1,62,
1006,11433,YV,0,172,
1007,11433,YV,1,56,
1008,11433,YX,0,843,
1009,11433,YX,1,182,
1010,11447,OO,0,80,
1011,11447,OO,1,6,
1012,11468,OO,0,129,
1013,11468,OO,1,18,
1014,11471,OO,0,76,
1015,11471,OO,1,17,
1016,11481,DL,0,261,
1017,11481,DL,1,28,
1018,11481,EV,0,52,
1019,11481,EV,1,6,
1020,11481,OH,0,131,
1021,11481,OH,1,13,
1022,11481,WN,0,148,
1023,11481,WN,1,16,
1024,11481,YV,0,114,
1025,11481,YV,1,20,
1026,11503,AA,0,221,
1027,11503,AA,1,115,
1028,11503,DL,0,47,
1029,11503,DL,1,5,
1030,11503,OO,0,174,
1031,11503,OO,1,43,
1032,11503,UA,0,131,
1033,11503,UA,1,30,
